1997-11 1
1998-03 2
1998-04 1
1998-05 1
1998-06 1
1998-07 1
1998-08 2
1998-09 2
1998-10 2
1998-11 2
1998-12 4
1999-01 3
1999-02 4
1999-03 4
1999-04 5
1999-05 5
1999-06 5
1999-07 4
1999-08 3
1999-09 2
1999-10 2
1999-11 4
1999-12 5
2000-01 5
2000-02 4
2000-03 5
2000-04 4
2000-05 6
2000-06 4
2000-07 6
2000-08 4
2000-09 3
2000-10 4
2000-11 4
2000-12 4
2001-01 4
2001-02 6
2001-03 8
2001-04 7
2001-05 5
2001-06 2
2001-07 3
2001-08 3
2001-09 7
2001-10 3
2001-11 5
2001-12 4
2002-01 7
2002-02 6
2002-03 3
2002-04 4
2002-05 6
2002-06 5
2002-07 5
2002-08 3
2002-09 5
2002-10 6
2002-11 5
2002-12 5
2003-01 8
2003-02 8
2003-03 3
2003-04 2
2003-05 6
2003-06 7
2003-07 4
2003-08 4
2003-09 6
2003-10 8
2003-11 3
2003-12 5
2004-01 4
2004-02 5
2004-03 4
2004-04 5
2004-05 6
2004-06 4
2004-07 4
2004-08 5
2004-09 5
2004-10 8
2004-11 4
2004-12 5
2005-01 4
2005-02 5
2005-03 10
2005-04 3
2005-05 7
2005-06 9
2005-07 8
2005-08 5
2005-09 7
2005-10 5
2005-11 6
2005-12 8
2006-01 7
2006-02 7
2006-03 8
2006-04 5
2006-05 7
2006-06 7
2006-07 7
2006-08 6
2006-09 6
2006-10 6
2006-11 4
2006-12 9
2007-01 6
2007-02 8
2007-03 7
2007-04 5
2007-05 8
2007-06 6
2007-07 6
2007-08 7
2007-09 8
2007-10 7
2007-11 4
2007-12 4
2008-01 4
2008-02 7
2008-03 6
2008-04 9
2008-05 6
2008-06 8
2008-07 6
2008-08 5
2008-09 7
2008-10 6
2008-11 4
2008-12 10
2009-01 6
2009-02 4
2009-03 6
2009-04 8
2009-05 4
2009-06 9
2009-07 8
2009-08 6
2009-09 7
2009-10 9
2009-11 4
2009-12 4
2010-01 10
2010-02 7
2010-03 8
2010-04 7
2010-05 8
2010-06 12
2010-07 9
2010-08 12
2010-09 12
2010-10 10
2010-11 10
2010-12 13
2011-01 10
2011-02 12
2011-03 10
2011-04 11
2011-05 9
2011-06 11
2011-07 6
2011-08 8
2011-09 8
2011-10 9
2011-11 10
2011-12 8
2012-01 8
2012-02 12
2012-03 13
2012-04 10
2012-05 11
2012-06 13
2012-07 11
2012-08 15
2012-09 10
2012-10 14
2012-11 10
2012-12 7
2013-01 11
2013-02 15
2013-03 14
2013-04 15
2013-05 12
2013-06 10
2013-07 14
2013-08 17
2013-09 18
2013-10 12
2013-11 14
2013-12 12
2014-01 16
2014-02 14
2014-03 14
2014-04 13
2014-05 10
2014-06 10
2014-07 11
2014-08 12
2014-09 14
2014-10 14
2014-11 13
2014-12 14
2015-01 13
2015-02 18
2015-03 17
2015-04 21
2015-05 21
2015-06 16
2015-07 17
2015-08 34
2015-09 21
2015-10 21
2015-11 17
2015-12 5
